operation,path,method,url,help_url
restun,*,OPTIONS,https://craigdemo.thereforeonline.com/theservice/v0001/restun/,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/CrossOriginOptionsSupport
AddComment,/AddComment,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/AddComment,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/AddComment
AddDictionaryKeyword,/AddDictionaryKeyword,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/AddDictionaryKeyword,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/AddDictionaryKeyword
AddStreamsToDocument,/AddStreamsToDocument,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/AddStreamsToDocument,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/AddStreamsToDocument
ApplyDependency,/ApplyDependency,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/ApplyDependency,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/ApplyDependency
CancelSearchSession,/CancelSearchSession,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/CancelSearchSession,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/CancelSearchSession
ChangeUserPassword,/ChangeUserPassword,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/ChangeUserPassword,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/ChangeUserPassword
CheckInDocument,/CheckInDocument,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/CheckInDocument,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/CheckInDocument
CheckOutDocument,/CheckOutDocument,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/CheckOutDocument,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/CheckOutDocument
ClaimWorkflowInstance,/ClaimWorkflowInstance,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/ClaimWorkflowInstance,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/ClaimWorkflowInstance
ClearLocalCache,/ClearLocalCache,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/ClearLocalCache,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/ClearLocalCache
ClearServerCache,/ClearServerCache,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/ClearServerCache,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/ClearServerCache
ClearWorkflowInstanceErrors,/ClearWorkflowInstanceErrors,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/ClearWorkflowInstanceErrors,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/ClearWorkflowInstanceErrors
CloseCase,/CloseCase,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/CloseCase,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/CloseCase
CompleteTask,/CompleteTask,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/CompleteTask,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/CompleteTask
CopyEForm,/CopyEForm,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/CopyEForm,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/CopyEForm
CreateCase,/CreateCase,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/CreateCase,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/CreateCase
CreateDocument,/CreateDocument,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/CreateDocument,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/CreateDocument
CreateLinkFile,/CreateLinkFile,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/CreateLinkFile,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/CreateLinkFile
